"id","label","marksize","visible","z","lat","lon"
"37.677_47.758","[[Dokuchaievsk]]","12","TRUE",99,"47.758","37.677"
"37.726_48.075","[[Donetsk International Airport]]","15","TRUE",99,"48.075","37.726"
"37.527_48.616","[[Druzhkivka]]","14","TRUE",99,"48.616","37.527"
"38.030_48.307","[[Horlivka]]","20","TRUE",99,"48.307","38.030"
"37.370_48.054","[[Hirnyk, Donetsk |Hirnyk]]","10","TRUE",99,"48.054","37.370"
"38.196_47.926","[[Ilovaisk]]","10","TRUE",99,"47.926","38.196"
"38.139_48.043","[[Khartsyzk]]","14","TRUE",99,"48.043","38.139"
"38.359_48.155","[[Kirovske, Donetsk |Kirovske]]","12","TRUE",99,"48.155","38.359"
"37.630_48.710","[[Kramatorsk Airport]]","10","TRUE",99,"48.710","37.630"
"37.509_48.009","[[Krasnohorivka]]","10","TRUE",99,"48.009","37.509"
"38.076_47.667","[[Komsomolske, Donetsk |Komsomolske]]","10","TRUE",99,"47.667","38.076"
"37.708_48.524","[[Kostyantynivka]]","14","TRUE",99,"48.524","37.708"
"37.291_47.987","[[Kurakhove]]","10","TRUE",99,"47.987","37.291"
"37.805_48.990","[[Lyman, Ukraine|Lyman]]","12","TRUE",99,"48.990","37.805"
"37.456_47.073","[[Mariupol International Airport]]","12","TRUE",99,"47.073","37.456"
"38.067_47.875","[[Mospyne]]","10","TRUE",99,"47.875","38.067"
"37.347_48.321","[[Mykolaivka, Donetsk |Mykolaivka]]","10","TRUE",99,"48.321","37.347"
"37.270_48.296","[[Myrnohrad]]","12","TRUE",99,"48.296","37.270"
"37.337_48.205","[[Novohrodivka]]","10","TRUE",99,"48.205","37.337"
"38.165_48.117","Nyzhnia Krynka","10","TRUE",99,"48.117","38.165"
"38.606_48.094","Pelahiivka","10","TRUE",99,"48.094","38.606"
"37.185_48.282","[[Pokrovsk, Ukraine|Povrovsk]]","14","TRUE",99,"48.282","37.185"
"37.692_47.174","[[Sartana, Ukraine|Sartana]]","10","TRUE",99,"47.174","37.692"
"37.297_48.148","[[Selydove]]","12","TRUE",99,"48.148","37.297"
"38.451_48.049","[[Shakhtarsk]]","12","TRUE",99,"48.049","38.451"
"38.105_48.874","[[Siversk]]","10","TRUE",99,"48.874","38.105"
"38.766_48.028","[[Snizhne]]","12","TRUE",99,"48.028","38.766"
"38.099_48.677","[[Soledar]]","10","TRUE",99,"48.677","38.099"
"38.220_48.435","[[Svitlodarsk]]","10","TRUE",99,"48.435","38.220"
"37.855_48.397","[[Toretsk]]","12","TRUE",99,"48.397","37.855"
"37.363_48.097","[[Ukrainsk]]","10","TRUE",99,"48.097","37.363"
"37.483_47.595","[[Volnovakha]]","12","TRUE",99,"47.595","37.483"
"37.249_47.780","[[Vuhledar]]","10","TRUE",99,"47.780","37.249"
"37.877_48.122","[[Yasynuvata]]","12","TRUE",99,"48.122","37.877"
"38.208_48.237","[[Yenakiieve]]","14","TRUE",99,"48.237","38.208"
"38.273_48.223","[[Yunokomunarivsk]]","10","TRUE",99,"48.223","38.273"
"38.254_48.146","[[Zhdanivka]]","10","TRUE",99,"48.146","38.254"
"38.261_48.022","[[Zuhres]]","10","TRUE",99,"48.022","38.261"
"39.083_48.117","[[Antratsyt]]","14","TRUE",99,"48.117","39.083"
"38.742_48.440","[[Artemivsk]]","8","TRUE",99,"48.440","38.742"
"39.049_48.501","Bile","8","TRUE",99,"48.501","39.049"
"38.733_49.530","[[Bilokurakyne]]","8","TRUE",99,"49.530","38.733"
"39.590_49.209","[[Bilovodsk]]","8","TRUE",99,"49.209","39.590"
"38.564_48.871","Borivske","8","TRUE",99,"48.871","38.564"
"38.643_48.513","[[Brianka]]","12","TRUE",99,"48.513","38.643"
"39.797_48.073","[[Chervonopartyzansk]]","10","TRUE",99,"48.073","39.797"
"38.521_48.324","[[Chornukhyne]]","8","TRUE",99,"48.324","38.521"
"37.861_47.156","[[Dzerzhynske]]","8","TRUE",99,"47.156","37.861"
"39.255_48.426","Heorhiivka","8","TRUE",99,"48.426","39.255"
"38.494_48.742","[[Hirske]]","8","TRUE",99,"48.742","38.494"
"38.592_48.601","[[Irmino]]","8","TRUE",99,"48.601","38.592"
"38.942_48.235","Ivanivka","8","TRUE",99,"48.235","38.942"
"38.472_48.665","[[Katerynivka, Popasna Raion|Katerynivka]]","10","TRUE",99,"48.665","38.472"
"38.643_48.638","[[Kirovsk, Luhansk |Kirovsk]]","12","TRUE",99,"48.638","38.643"
"39.733_48.300","[[Krasnodon]]","12","TRUE",99,"48.300","39.733"
"38.217_49.050","[[Kreminna]]","10","TRUE",99,"49.050","38.217"
"39.059_48.074","Kripenskyi","8","TRUE",99,"48.074","39.059"
"39.375_48.418","[[Luhansk International Airport]]","12","TRUE",99,"48.418","39.375"
"39.210_48.402","[[Lutuhyne]]","10","TRUE",99,"48.402","39.210"
